"estado";"candidato";"votos";"cargo";"ano";"turno";"partido";"candidato_name"
"Amazonas";"Paulo Maluf PDS";24832;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Roraima";"Paulo Maluf PDS";1377;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Pará";"Paulo Maluf PDS";62848;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Amapá";"Paulo Maluf PDS";1960;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Tocantins";"Paulo Maluf PDS";13258;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Maranhão";"Paulo Maluf PDS";35939;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Piauí";"Paulo Maluf PDS";38236;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Ceará";"Paulo Maluf PDS";108877;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"R. G. do Norte";"Paulo Maluf PDS";52546;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Paraíba";"Paulo Maluf PDS";33777;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Pernambuco";"Paulo Maluf PDS";43518;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Alagoas";"Paulo Maluf PDS";9253;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Sergipe";"Paulo Maluf PDS";23550;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Bahia";"Paulo Maluf PDS";72200;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Minas Gerais";"Paulo Maluf PDS";275669;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Espírito Santo";"Paulo Maluf PDS";32221;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Rio de Janeiro";"Paulo Maluf PDS";115656;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"São Paulo";"Paulo Maluf PDS";3934334;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Paraná";"Paulo Maluf PDS";319932;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Santa Catarina";"Paulo Maluf PDS";236151;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"R. G. do Sul";"Paulo Maluf PDS";309406;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"M. G. do Sul";"Paulo Maluf PDS";47237;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Mato Grosso";"Paulo Maluf PDS";43679;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Goiás";"Paulo Maluf PDS";80376;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Distrito Federal";"Paulo Maluf PDS";31364;"Presidente";1989;"Turno 1";"PDS";"Paulo Maluf"
"Rondônia";"Guilherme Afif PL (PDC)";26123;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Acre";"Guilherme Afif PL (PDC)";7149;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Amazonas";"Guilherme Afif PL (PDC)";36544;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Roraima";"Guilherme Afif PL (PDC)";2252;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Pará";"Guilherme Afif PL (PDC)";65419;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Amapá";"Guilherme Afif PL (PDC)";4323;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Tocantins";"Guilherme Afif PL (PDC)";9822;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Maranhão";"Guilherme Afif PL (PDC)";54021;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Piauí";"Guilherme Afif PL (PDC)";36829;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Ceará";"Guilherme Afif PL (PDC)";60228;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"R. G. do Norte";"Guilherme Afif PL (PDC)";20846;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Paraíba";"Guilherme Afif PL (PDC)";25659;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Pernambuco";"Guilherme Afif PL (PDC)";70093;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Alagoas";"Guilherme Afif PL (PDC)";26869;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Sergipe";"Guilherme Afif PL (PDC)";9744;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Bahia";"Guilherme Afif PL (PDC)";100970;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Minas Gerais";"Guilherme Afif PL (PDC)";503027;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Espírito Santo";"Guilherme Afif PL (PDC)";45644;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Rio de Janeiro";"Guilherme Afif PL (PDC)";191751;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
